ade;status;serviço;Loja;tipo_x;valor_x;situacao_x;tipo_y;valor_y;situacao_y;seguro;status_aguardandoRetornoDaSeguradora;Numero loja
82469082;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 242,83;Emitida -;;;;;;
82470023;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.401,36;Emitida -;;;;;;
82470769;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.907,39;Emitida -;;;;;;
82471181;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 1.145,20;Emitida -;;;;;;
82473199;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 149,44;Emitida -;;;;;;
82473413;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 437,16;Emitida -;;;;;;
82474016;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 964,53;Emitida -;;;;;;
82474074;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 226,31;Emitida -;;;;;;
82474146;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 372,96;Emitida -;;;;;;
82474172;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 253,94;Emitida -;;;;;;
82474328;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 172,22;Emitida -;;;;;;
82474395;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 170,89;Emitida -;;;;;;
82474539;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 207,47;Emitida -;;;;;;
82475091;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 554,33;Emitida -;;;;;;
82475659;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 148,67;Emitida -;;;;;;
82476682;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 220,00;Emitida -;;;;;;
82476877;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 147,98;Emitida -;;;;;;
82478449;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 328,86;Emitida -;;;;;;
82483273;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 265,53;Emitida -;;;;;;
82489775;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 207,28;Emitida -;;;;;;
82492839;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 353,35;Emitida -;;;;;;
82493098;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 243,22;Emitida -;;;;;;
82493377;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.341,68;Emitida -;;;;;;
82494302;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 662,35;Emitida -;;;;;;
82495575;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 636,90;Emitida -;;;;;;
82495854;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 320,79;Emitida -;;;;;;
82495855;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 334,72;Emitida -;;;;;;
82496535;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.377,26;Emitida -;;;;;;
82497302;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.253,00;Emitida -;;;;;;
82497370;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 514,89;Emitida -;;;;;;
82497952;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 129,99;Emitida -;;;;;;
82498955;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 506,69;Emitida -;;;;;;
82503823;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 489,41;Emitida -;;;;;;
82505067;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 263,92;Emitida -;;;;;;
82506888;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.114,83;Emitida -;;;;;;
82509579;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 293,84;Emitida -;;;;;;
82510143;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 994,21;Emitida -;;;;;;
82511538;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 113,05;Emitida -;;;;;;
82511803;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 134,44;Emitida -;;;;;;
82511916;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 640,53;Emitida -;;;;;;
82512084;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.294,46;Emitida -;;;;;;
82516828;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 471,16;Emitida -;;;;;;
82517025;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.253,00;Emitida -;;;;;;
82522060;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 102,30;Emitida -;;;;;;
82527911;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.301,62;Emitida -;;;;;;
82529067;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 2.341,44;Emitida -;;;;;;
